title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
בן לוקח בת,בן_לוקח_בת,1982,"[{""name"": ""מיכל בת-אדם"", ""slug"": ""מיכל_בת-אדם""}]","[{""name"": ""מיכל בת-אדם"", ""slug"": null}]","[{""name"": ""מיכל בת-אדם"", ""slug"": null}]",דרמה,1982,,1,B (1970-1990)
גבי בן יקר,גבי_בן_יקר,1982,"[{""name"": ""ערן פרייס"", ""slug"": ""ערן_פרייס""}]","[{""name"": ""אורי ברבש"", ""slug"": ""אורי_ברבש""}]","[{""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}]",דרמה,1982,,1,B (1970-1990)
כביש ללא מוצא,כביש_ללא_מוצא_(סרט),1982,"[{""name"": ""יקי יושע"", ""slug"": ""יקי_יושע""}, {""name"": ""אלי תבור"", ""slug"": ""אלי_תבור""}]","[{""name"": ""יקי יושע"", ""slug"": null}]","[{""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}]",דרמה,1982,,3,B (1970-1990)
כשנותנים - קח!,כשנותנים_-_קח!,1982,"[{""name"": ""מיכאל גרינשטיין"", ""slug"": null}]","[{""name"": ""אלפרד שטיינהארדט"", ""slug"": ""אלפרד_שטיינהארדט""}]","[{""name"": ""יעקב בודו"", ""slug"": ""יעקב_בודו""}, {""name"": ""רחל דיין"", ""slug"": null}]",,1982,,2,B (1970-1990)
מתחת לאף,מתחת_לאף,1982,"[{""name"": ""חיים מרין"", ""slug"": ""חיים_מרין""}]","[{""name"": ""יעקב גולדווסר"", ""slug"": ""יעקב_גולדווסר""}]","[{""name"": ""אורי גבריאל"", ""slug"": ""אורי_גבריאל""}, {""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}]",דרמה,1982,,2,B (1970-1990)
נועה בת 17,נועה_בת_17,1982,"[{""name"": ""יצחק צפל ישורון"", ""slug"": ""יצחק_צפל_ישורון""}]","[{""name"": ""יצחק צפל ישורון"", ""slug"": null}]","[{""name"": ""דליה שימקו"", ""slug"": ""דליה_שימקו""}]",דרמה,1982,,1,B (1970-1990)
צלילה חוזרת,צלילה_חוזרת,1982,"[{""name"": ""שמעון דותן"", ""slug"": ""שמעון_דותן""}]","[{""name"": ""שמעון דותן"", ""slug"": null}]","[{""name"": ""דורון נשר"", ""slug"": ""דורון_נשר""}, {""name"": ""בתיה רוזנטל"", ""slug"": ""בתיה_רוזנטל""}]",דרמה,1982,,2,B (1970-1990)
אסקימו לימון 4 - ספיחס,אסקימו_לימון_4_-_ספיחס,1982,"[{""name"": ""בועז דוידזון"", ""slug"": ""בועז_דוידזון""}, {""name"": ""אלי תבור"", ""slug"": ""אלי_תבור""}]","[{""name"": ""בועז דוידזון"", ""slug"": null}]","[{""name"": ""יפתח קצור"", ""slug"": ""יפתח_קצור""}, {""name"": ""צחי נוי"", ""slug"": ""צחי_נוי""}, {""name"": ""יהונתן סגל"", ""slug"": ""יהונתן_סגל""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}, {""name"": ""דבורה קידר"", ""slug"": null}]",קומדיה,1982,,5,B (1970-1990)
בחינת בגרות,בחינת_בגרות_(סרט),1983,"[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""נפתלי אלטר"", ""slug"": ""נפתלי_אלטר""}, {""name"": ""גלילה רון-פדר עמית"", ""slug"": ""גלילה_רון-פדר_עמית""}]","[{""name"": ""אסי דיין"", ""slug"": null}]","[{""name"": ""דן תורן"", ""slug"": ""דן_תורן""}, {""name"": ""עירית פרנק"", ""slug"": ""עירית_פרנק""}]",דרמה,1983,,2,B (1970-1990)
נורית 2,נורית_2,1983,"[{""name"": ""ג'ורג' עובדיה"", ""slug"": ""ג'ורג'_עובדיה""}]","[{""name"": ""ג'ורג' עובדיה"", ""slug"": null}]","[{""name"": ""איתן מסורי"", ""slug"": ""איתן_מסורי""}, {""name"": ""מוניקה טסלר"", ""slug"": ""מוניקה_טסלר""}, {""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""יעקב בן סירא"", ""slug"": ""יעקב_בן_סירא""}, {""name"": ""שלמה גולדברג"", ""slug"": ""שלמה_גולדברג""}]",דרמה,1983,,5,B (1970-1990)
המגילה 83,המגילה_83,1983,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""חיים חפר"", ""slug"": ""חיים_חפר""}]","[{""name"": ""אילן אלדד"", ""slug"": null}]","[{""name"": ""שלמה בראבא"", ""slug"": ""שלמה_בראבא""}, {""name"": ""יונתן סגל"", ""slug"": ""יונתן_סגל""}, {""name"": ""אביבה פז"", ""slug"": ""אביבה_פז""}, {""name"": ""ניצה שאול"", ""slug"": ""ניצה_שאול""}, {""name"": ""אלברט כהן"", ""slug"": ""אלברט_כהן""}]",דרמה,1983,,5,B (1970-1990)
הפנימייה,הפנימייה,1983,"[{""name"": ""יצחק גינסברג"", ""slug"": null}]","[{""name"": ""יעוד לבנון"", ""slug"": ""יעוד_לבנון""}]","[{""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""אורי ורדי"", ""slug"": ""אורי_ורדי""}, {""name"": ""בן לוין"", ""slug"": ""בן_לוין""}, {""name"": ""סמדר קילצ'ינסקי"", ""slug"": ""סמדר_קילצ'ינסקי""}]",דרמה,1983,,4,B (1970-1990)
זוג נשוי,זוג_נשוי,1983,"[{""name"": ""יצחק צפל ישורון"", ""slug"": ""יצחק_צפל_ישורון""}]","[{""name"": ""יצחק צפל ישורון"", ""slug"": null}]","[{""name"": ""ירון לונדון"", ""slug"": ""ירון_לונדון""}, {""name"": ""מירי פביאן"", ""slug"": ""מירי_פביאן""}]",דרמה,1983,,2,B (1970-1990)
מגש הכסף,מגש_הכסף_(סרט),1983,"[{""name"": ""ג'אד נאמן"", ""slug"": ""ג'אד_נאמן""}, {""name"": ""אמנון לורד"", ""slug"": ""אמנון_לורד""}, {""name"": ""רוחמה מרטון"", ""slug"": ""רוחמה_מרטון""}]","[{""name"": ""יהודה נאמן"", ""slug"": ""יהודה_נאמן""}]","[{""name"": ""גידי גוב"", ""slug"": ""גידי_גוב""}]",דרמה,1983,,1,B (1970-1990)
סבבה,סבבה_(סרט),1983,"[{""name"": ""בועז דוידזון"", ""slug"": ""בועז_דוידזון""}]","[{""name"": ""צבי שיסל"", ""slug"": ""צבי_שיסל""}]","[{""name"": ""צחי נוי"", ""slug"": ""צחי_נוי""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}]",קומדיה,1983,,2,B (1970-1990)
קוני למל בקהיר,קוני_למל_בקהיר,1983,"[{""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]","[{""name"": ""יואל זילברג"", ""slug"": null}]","[{""name"": ""מייק בורשטיין"", ""slug"": ""מייק_בורשטיין""}, {""name"": ""חנה לסלאו"", ""slug"": ""חנה_לסלאו""}, {""name"": ""משה איבגי"", ""slug"": ""משה_איבגי""}, {""name"": ""אורי גבריאל"", ""slug"": ""אורי_גבריאל""}, {""name"": ""אברהם מור"", ""slug"": ""אברהם_מור""}]",קומדיה,1983,,5,B (1970-1990)
עובדים על העולם,,1983,"[{""name"": ""אריה סובור"", ""slug"": null}]","[{""name"": ""אלן יעקובוביץ'"", ""slug"": null}]","[{""name"": ""דורי בן זאב"", ""slug"": ""דורי_בן_זאב""}, {""name"": ""מאיר סויסה"", ""slug"": ""מאיר_סויסה""}]",קומדיה,1983,,2,B (1970-1990)
אני והמאהב של אשתי,אני_והמאהב_של_אשתי,1983,"[{""name"": ""עוזי פרס"", ""slug"": ""עוזי_פרס""}]","[{""name"": ""עוזי פרס"", ""slug"": null}]","[{""name"": ""אושיק לוי"", ""slug"": ""אושיק_לוי""}, {""name"": ""עמוס לביא"", ""slug"": ""עמוס_לביא""}, {""name"": ""רחל דיין"", ""slug"": ""רחל_דיין_(שחקנית)""}, {""name"": ""אלברט כהן"", ""slug"": ""אלברט_כהן""}, {""name"": ""אסי הנגבי"", ""slug"": ""אסי_הנגבי""}, {""name"": ""שמואל סגל"", ""slug"": ""שמואל_סגל_(שחקן)""}, {""name"": ""דינה לימון"", ""slug"": ""דינה_לימון""}, {""name"": ""מירי פביאן"", ""slug"": ""מירי_פביאן""}]",דרמה,1983,,8,B (1970-1990)
אדמה חמה,,1984,"[{""name"": ""סרג' אנקרי"", ""slug"": ""סרג'_אנקרי""}]","[{""name"": ""סרג' אנקרי"", ""slug"": null}]","[{""name"": ""מאיר סויסה"", ""slug"": ""מאיר_סויסה""}]",דרמה,1984,,1,B (1970-1990)
אסקימו לימון 5 - רומן זעיר,אסקימו_לימון_5_-_רומן_זעיר,1984,"[{""name"": ""בועז דוידזון"", ""slug"": ""בועז_דוידזון""}, {""name"": ""אלי תבור"", ""slug"": ""אלי_תבור""}]","[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}]","[{""name"": ""יפתח קצור"", ""slug"": ""יפתח_קצור""}, {""name"": ""צחי נוי"", ""slug"": ""צחי_נוי""}, {""name"": ""יהונתן סגל"", ""slug"": ""יהונתן_סגל""}, {""name"": ""דבורה קידר"", ""slug"": null}]",קומדיה,1984,,4,B (1970-1990)
ביום בהיר רואים את דמשק,ביום_בהיר_רואים_את_דמשק,1984,"[{""name"": ""ערן ריקליס"", ""slug"": ""ערן_ריקליס""}, {""name"": ""גבריאל ברונשטיין"", ""slug"": null}]","[{""name"": ""ערן ריקליס"", ""slug"": null}]","[{""name"": ""מוחמד בכרי"", ""slug"": ""מוחמד_בכרי""}, {""name"": ""אלי דנקר"", ""slug"": ""אלי_דנקר""}]",דרמה,1984,,2,B (1970-1990)
החורף האחרון,החורף_האחרון,1984,"[{""name"": ""ג'ון הצפלד"", ""slug"": null}]","[{""name"": ""ריקי שלח"", ""slug"": ""ריקי_שלח""}]","[{""name"": ""יונה אליאן"", ""slug"": ""יונה_אליאן""}, {""name"": ""קת'לין קווינלן"", ""slug"": ""קת'לין_קווינלן""}]",דרמה,1984,,2,B (1970-1990)
המתיחה הגדולה,,1984,[],"[{""name"": ""יהודה ברקן"", ""slug"": ""יהודה_ברקן""}, {""name"": ""יגאל שילון"", ""slug"": ""יגאל_שילון""}]","[{""name"": ""מושון אלבוחר"", ""slug"": ""מושון_אלבוחר""}, {""name"": ""יהודה ברקן"", ""slug"": null}]",קומדיה,1984,,2,B (1970-1990)
חייל הלילה,חייל_הלילה,1984,"[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}, {""name"": ""יעקב רוזן"", ""slug"": ""יעקב_רוזן""}]","[{""name"": ""דן וולמן"", ""slug"": null}]","[{""name"": ""זאב שמשוני"", ""slug"": ""זאב_שמשוני""}, {""name"": ""איריס קריינר"", ""slug"": null}]",דרמה,1984,,2,B (1970-1990)
כסאח,כסאח,1984,"[{""name"": ""אהרון בכר"", ""slug"": ""אהרון_בכר""}]","[{""name"": ""חיים גיל"", ""slug"": ""חיים_גיל_(במאי)""}]","[{""name"": ""חופני כהן"", ""slug"": ""חופני_כהן""}]",דרמה,1984,,1,B (1970-1990)
מאחורי הסורגים,מאחורי_הסורגים,1984,"[{""name"": ""בני ברבש"", ""slug"": ""בני_ברבש""}, {""name"": ""אורי ברבש"", ""slug"": ""אורי_ברבש""}]","[{""name"": ""אורי ברבש"", ""slug"": null}]","[{""name"": ""ארנון צדוק"", ""slug"": ""ארנון_צדוק""}, {""name"": ""מוחמד בכרי"", ""slug"": ""מוחמד_בכרי""}, {""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]",דרמה,1984,,3,B (1970-1990)
מכת שמש,מכת_שמש_(סרט),1984,"[{""name"": ""יקי יושע"", ""slug"": ""יקי_יושע""}]","[{""name"": ""יקי יושע"", ""slug"": null}]","[{""name"": ""יובל בנאי"", ""slug"": ""יובל_בנאי""}, {""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""דליק ווליניץ"", ""slug"": ""דליק_ווליניץ""}, {""name"": ""אייל גפן"", ""slug"": ""אייל_גפן""}]",דרמה,1984,,4,B (1970-1990)
ספר נשים,ספר_נשים_(סרט),1984,"[{""name"": ""זאב רווח"", ""slug"": ""זאב_רווח""}, {""name"": ""הלל מיטלפונקט"", ""slug"": ""הלל_מיטלפונקט""}]","[{""name"": ""זאב רווח"", ""slug"": null}]","[{""name"": ""תקוה עזיז"", ""slug"": ""תקוה_עזיז""}, {""name"": ""גבי עמרני"", ""slug"": ""גבי_עמרני""}, {""name"": ""זאב רווח"", ""slug"": null}]",קומדיה,1984,,3,B (1970-1990)
עדות מאונס,עדות_מאונס,1984,[],"[{""name"": ""רפאל רביבו"", ""slug"": ""רפאל_רביבו""}]","[{""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""אורי גבריאל"", ""slug"": ""אורי_גבריאל""}]",דרמה,1984,,2,B (1970-1990)
עתליה,עתליה_(סרט),1984,"[{""name"": ""צביקה קרצנר"", ""slug"": ""צביקה_קרצנר""}]","[{""name"": ""עקיבא טבת"", ""slug"": ""עקיבא_טבת""}]","[{""name"": ""מיכל בת-אדם"", ""slug"": ""מיכל_בת-אדם""}]",דרמה,1984,,1,B (1970-1990)
זעם ותהילה,זעם_ותהילה,1984,"[{""name"": ""אבי נשר"", ""slug"": ""אבי_נשר""}]","[{""name"": ""אבי נשר"", ""slug"": null}]","[{""name"": ""חנה אזולאי-הספרי"", ""slug"": ""חנה_אזולאי-הספרי""}, {""name"": ""ג'וליאנו מר"", ""slug"": ""ג'וליאנו_מר""}]",דרמה,1984,,2,B (1970-1990)
אסקימו לימון 6 - הרימו עוגן,אסקימו_לימון_6_-_הרימו_עוגן,1985,"[{""name"": ""אלי תבור"", ""slug"": ""אלי_תבור""}, {""name"": ""סאם ויינברג"", ""slug"": null}]","[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}, {""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]","[{""name"": ""יפתח קצור"", ""slug"": ""יפתח_קצור""}, {""name"": ""צחי נוי"", ""slug"": ""צחי_נוי""}, {""name"": ""יהונתן סגל"", ""slug"": ""יהונתן_סגל""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}, {""name"": ""דבורה קידר"", ""slug"": null}]",קומדיה,1985,,5,B (1970-1990)
בנות,בנות_(סרט),1985,"[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]","[{""name"": ""נדב לויתן"", ""slug"": ""נדב_לויתן""}]","[{""name"": ""חנה אזולאי-הספרי"", ""slug"": ""חנה_אזולאי-הספרי""}]",קומדיה,1985,,1,B (1970-1990)
בר 51,בר_51,1985,"[{""name"": ""עמוס גוטמן"", ""slug"": ""עמוס_גוטמן""}]","[{""name"": ""עמוס גוטמן"", ""slug"": null}]","[{""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""מוסקו אלקלעי"", ""slug"": ""מוסקו_אלקלעי""}, {""name"": ""ג'וליאנו מר"", ""slug"": ""ג'וליאנו_מר""}]",דרמה,1985,,3,B (1970-1990)
גשר צר מאד,גשר_צר_מאד,1985,"[{""name"": ""נסים דיין"", ""slug"": ""נסים_דיין""}, {""name"": ""חיים חפר"", ""slug"": ""חיים_חפר""}]","[{""name"": ""נסים דיין"", ""slug"": null}]","[{""name"": ""אהרון איפלה"", ""slug"": ""אהרון_איפלה""}]",דרמה,1985,,1,B (1970-1990)
חסמבה ושודדי הסוסים,חסמבה_ושודדי_הסוסים,1985,"[{""name"": ""יגאל מוסינזון"", ""slug"": ""יגאל_מוסינזון""}]","[{""name"": ""הלל דמרון"", ""slug"": null}]","[{""name"": ""ספי ריבלין"", ""slug"": ""ספי_ריבלין""}, {""name"": ""טוביה דובלרו"", ""slug"": ""טוביה_דובלרו""}, {""name"": ""שרון קילצ'ינסקי"", ""slug"": null}, {""name"": ""אודי ערן"", ""slug"": null}, {""name"": ""בני קפלה"", ""slug"": null}, {""name"": ""דודו ניב"", ""slug"": ""דודו_ניב""}, {""name"": ""שאול מזרחי"", ""slug"": ""שאול_מזרחי""}]",דרמה,1985,,7,B (1970-1990)
עד סוף הלילה,עד_סוף_הלילה,1985,"[{""name"": ""איתן גרין"", ""slug"": ""איתן_גרין""}]","[{""name"": ""איתן גרין"", ""slug"": null}]","[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]",דרמה,1985,,1,B (1970-1990)
אירית עירית,אירית_עירית,1985,"[{""name"": ""נפתלי אלטר"", ""slug"": ""נפתלי_אלטר""}]","[{""name"": ""נפתלי אלטר"", ""slug"": null}]","[{""name"": ""אירית אלטר"", ""slug"": ""אירית_אלטר""}, {""name"": ""חנן גולדבלט"", ""slug"": ""חנן_גולדבלט""}, {""name"": ""רוני פינקוביץ'"", ""slug"": ""רוני_פינקוביץ'""}]",דרמה,1985,,3,B (1970-1990)
קומפוט נעליים,קומפוט_נעליים,1985,"[{""name"": ""יוסי סוויה"", ""slug"": null}]","[{""name"": ""יהודה ברקן"", ""slug"": ""יהודה_ברקן""}, {""name"": ""עזרא שם טוב"", ""slug"": null}]","[{""name"": ""יהודה ברקן"", ""slug"": null}]",קומדיה,1985,,1,B (1970-1990)
קוקו בן 19,קוקו_בן_19,1985,"[{""name"": ""נתן זהבי"", ""slug"": ""נתן_זהבי""}]","[{""name"": ""דני ורטה"", ""slug"": ""דני_ורטה""}]","[{""name"": ""אודי כהן"", ""slug"": null}]",דרמה,1985,,1,B (1970-1990)
שוברים,שוברים,1985,"[{""name"": ""אבי נשר"", ""slug"": ""אבי_נשר""}]","[{""name"": ""אבי נשר"", ""slug"": null}]","[{""name"": ""יזהר אשדות"", ""slug"": ""יזהר_אשדות""}, {""name"": ""גלי עטרי"", ""slug"": ""גלי_עטרי""}, {""name"": ""סי היימן"", ""slug"": ""סי_היימן""}, {""name"": ""אלונה קמחי"", ""slug"": ""אלונה_קמחי""}, {""name"": ""מאיר בנאי"", ""slug"": ""מאיר_בנאי""}]",קומדיה,1985,,5,B (1970-1990)
המאהב,המאהב_(סרט_קולנוע_ישראלי),1986,"[{""name"": ""מיכל בת-אדם"", ""slug"": ""מיכל_בת-אדם""}, {""name"": ""א.ב. יהושע"", ""slug"": ""א.ב._יהושע""}, {""name"": ""(על פי ספרו של"", ""slug"": null}, {""name"": "")"", ""slug"": null}]","[{""name"": ""מיכל בת-אדם"", ""slug"": null}]","[{""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""רוברטו פולק"", ""slug"": ""רוברטו_פולק""}, {""name"": ""אביגיל אריאלי"", ""slug"": ""אביגיל_אריאלי""}, {""name"": ""מיכל בת-אדם"", ""slug"": null}]",דרמה,1986,,4,B (1970-1990)
אוונטי פופולו,אוונטי_פופולו,1986,"[{""name"": ""רפי בוקאי"", ""slug"": ""רפי_בוקאי""}]","[{""name"": ""רפי בוקאי"", ""slug"": null}]","[{""name"": ""סלים דאו"", ""slug"": ""סלים_דאו""}, {""name"": ""טוביה גלבר"", ""slug"": null}, {""name"": ""סוהיל חדאד"", ""slug"": ""סוהיל_חדאד""}]",דרמה,1986,,3,B (1970-1990)
אלכס חולה אהבה,אלכס_חולה_אהבה,1986,"[{""name"": ""אלי תבור"", ""slug"": ""אלי_תבור""}]","[{""name"": ""בועז דוידזון"", ""slug"": ""בועז_דוידזון""}]","[{""name"": ""איתן אנשל"", ""slug"": ""איתן_אנשל""}, {""name"": ""שרון הכהן"", ""slug"": ""שרון_הכהן""}, {""name"": ""אורי כבירי"", ""slug"": ""אורי_כבירי""}, {""name"": ""אבי קושניר"", ""slug"": ""אבי_קושניר""}]",קומדיה,1986,,4,B (1970-1990)
אסתר,אסתר_(סרט),1986,[],"[{""name"": ""עמוס גיתאי"", ""slug"": ""עמוס_גיתאי""}]","[{""name"": ""סימון בנימיני"", ""slug"": null}, {""name"": ""מוחמד בכרי"", ""slug"": ""מוחמד_בכרי""}, {""name"": ""ג'וליאנו מר"", ""slug"": ""ג'וליאנו_מר""}]",דרמה,1986,,3,B (1970-1990)
פלאש,"פלאש_(סרט,_1986)",1986,[],"[{""name"": ""דורון ערן"", ""slug"": ""דורון_ערן""}]","[{""name"": ""זאב שמשוני"", ""slug"": ""זאב_שמשוני""}, {""name"": ""ניצה שאול"", ""slug"": ""ניצה_שאול""}, {""name"": ""עמוס לביא"", ""slug"": ""עמוס_לביא""}]",דרמה,1986,,3,B (1970-1990)
השיגעון הגדול,השיגעון_הגדול,1986,[],"[{""name"": ""נפתלי אלטר"", ""slug"": ""נפתלי_אלטר""}]","[{""name"": ""ספי ריבלין"", ""slug"": ""ספי_ריבלין""}, {""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}, {""name"": ""ענת וקסמן"", ""slug"": ""ענת_וקסמן""}, {""name"": ""דב נבון"", ""slug"": ""דב_נבון""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}]",קומדיה,1986,,5,B (1970-1990)
הקרב על הוועד,הקרב_על_הוועד,1986,[],"[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]","[{""name"": ""שייקה לוי"", ""slug"": ""שייקה_לוי""}, {""name"": ""ישראל פוליאקוב"", ""slug"": ""ישראל_פוליאקוב""}, {""name"": ""גברי בנאי"", ""slug"": ""גברי_בנאי""}]",דרמה,1986,,3,B (1970-1990)
חוזה אהבה,,1986,[],"[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}]","[{""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""שמואל עצמון"", ""slug"": ""שמואל_עצמון""}, {""name"": ""עירית זוהר"", ""slug"": null}, {""name"": ""רווית זוהר"", ""slug"": null}]",דרמה,1986,,4,B (1970-1990)
חיוך הגדי,חיוך_הגדי,1986,"[{""name"": ""שמעון דותן"", ""slug"": ""שמעון_דותן""}, {""name"": ""ענת לוי בר"", ""slug"": null}]","[{""name"": ""שמעון דותן"", ""slug"": null}]","[{""name"": ""טונג'ל קורטיז"", ""slug"": ""טונג'ל_קורטיז""}]",דרמה,1986,,1,B (1970-1990)
ילדי סטלין,ילדי_סטלין,1986,"[{""name"": ""גדי דנציג"", ""slug"": ""גדי_דנציג""}, {""name"": ""נדב לויתן"", ""slug"": ""נדב_לויתן""}]","[{""name"": ""נדב לויתן"", ""slug"": null}]","[{""name"": ""אהרון אלמוג"", ""slug"": ""אהרון_אלמוג""}, {""name"": ""עזרא דגן"", ""slug"": ""עזרא_דגן""}]",דרמה,1986,,2,B (1970-1990)
מלכת הכיתה,מלכת_הכיתה_(סרט),1986,"[{""name"": ""יצחק צפל ישורון"", ""slug"": ""יצחק_צפל_ישורון""}]","[{""name"": ""יצחק צפל ישורון"", ""slug"": null}]","[{""name"": ""יצחק בן-נר"", ""slug"": ""יצחק_בן-נר""}]",דרמה,1986,,1,B (1970-1990)
נאדיה,נאדיה_(סרט),1986,"[{""name"": ""איתן גרין"", ""slug"": ""איתן_גרין""}]","[{""name"": ""אמנון רובינשטיין"", ""slug"": ""אמנון_רובינשטיין_(במאי)""}]","[{""name"": ""חנה אזולאי-הספרי"", ""slug"": ""חנה_אזולאי-הספרי""}, {""name"": ""יובל בנאי"", ""slug"": ""יובל_בנאי""}]",דרמה,1986,,2,B (1970-1990)
שתי אצבעות מצידון,שתי_אצבעות_מצידון,1986,"[{""name"": ""צביקה קרצנר"", ""slug"": ""צביקה_קרצנר""}, {""name"": ""אלי כהן"", ""slug"": ""אלי_כהן_(במאי)""}, {""name"": ""ברוך נבו"", ""slug"": ""ברוך_נבו""}]","[{""name"": ""אלי כהן"", ""slug"": ""אלי_כהן_(במאי)""}]","[{""name"": ""רוני פינקוביץ'"", ""slug"": ""רוני_פינקוביץ'""}, {""name"": ""שאול מזרחי"", ""slug"": ""שאול_מזרחי""}, {""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}]",דרמה,1986,,3,B (1970-1990)
סוף שבוע מטורף,סוף_שבוע_מטורף,1986,"[{""name"": ""אלי שרייבר (חתולי)"", ""slug"": ""אלי_שרייבר_(חתולי)""}]","[{""name"": ""אילן מושנזון"", ""slug"": ""אילן_מושנזון""}]","[{""name"": ""דליק ווליניץ"", ""slug"": ""דליק_ווליניץ""}, {""name"": ""אוסי הלל"", ""slug"": null}]",קומדיה,1986,,2,B (1970-1990)
"הטוב, הרע והלא נורא","הטוב,_הרע_והלא_נורא",1986,"[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}]","[{""name"": ""אסי דיין"", ""slug"": null}]","[{""name"": ""גבי עמרני"", ""slug"": ""גבי_עמרני""}, {""name"": ""משה איש כסית"", ""slug"": ""משה_איש_כסית""}, {""name"": ""יוסף שילוח"", ""slug"": null}, {""name"": ""אסי דיין"", ""slug"": null}]",קומדיה,1986,,4,B (1970-1990)
אבא גנוב,אבא_גנוב,1987,"[{""name"": ""חיים מרין"", ""slug"": ""חיים_מרין""}]","[{""name"": ""יעקב גולדווסר"", ""slug"": ""יעקב_גולדווסר""}]","[{""name"": ""יהודה ברקן"", ""slug"": ""יהודה_ברקן""}, {""name"": ""אלונה קמחי"", ""slug"": ""אלונה_קמחי""}, {""name"": ""בן ציון"", ""slug"": null}]",דרמה,1987,,3,B (1970-1990)
אהבה גנובה,אהבה_גנובה,1987,"[{""name"": ""רחל פביאן"", ""slug"": null}, {""name"": ""משה מזרחי"", ""slug"": ""משה_מזרחי_(במאי_קולנוע)""}, {""name"": ""לאה אפט"", ""slug"": null}]","[{""name"": ""משה מזרחי"", ""slug"": null}]","[{""name"": ""טום הנקס"", ""slug"": ""טום_הנקס""}, {""name"": ""כריסטינה מרסיליה"", ""slug"": null}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""ענת עצמון"", ""slug"": ""ענת_עצמון""}, {""name"": ""מוני מושונוב"", ""slug"": ""מוני_מושונוב""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""אורנה פורת"", ""slug"": ""אורנה_פורת""}, {""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""דפנה ארמוני"", ""slug"": ""דפנה_ארמוני""}]",,1987,,9,B (1970-1990)
אסקימו לימון 7 - אהבה צעירה,אסקימו_לימון_7_-_אהבה_צעירה,1987,"[{""name"": ""אנטון מוהו"", ""slug"": null}, {""name"": ""איתן אבן"", ""slug"": ""איתן_אבן""}]","[{""name"": ""וולטר בנרט"", ""slug"": null}]","[{""name"": ""יפתח קצור"", ""slug"": ""יפתח_קצור""}, {""name"": ""צחי נוי"", ""slug"": ""צחי_נוי""}, {""name"": ""יהונתן סגל"", ""slug"": ""יהונתן_סגל""}]",קומדיה,1987,,3,B (1970-1990)
בלוז לחופש הגדול,בלוז_לחופש_הגדול,1987,"[{""name"": ""דורון נשר"", ""slug"": ""דורון_נשר""}]","[{""name"": ""רנן שור"", ""slug"": ""רנן_שור""}]","[{""name"": ""יואב צפיר"", ""slug"": ""יואב_צפיר""}, {""name"": ""שחר סגל"", ""slug"": ""שחר_סגל_(במאי)""}, {""name"": ""דור צויגנבום"", ""slug"": ""דור_צויגנבום""}, {""name"": ""נועה גולדברג"", ""slug"": ""נועה_גולדברג""}]",דרמה,1987,,4,B (1970-1990)
