movie_slug,movie_title,year,genre,directors,cast_source,billing_position,actor_name,actor_slug
עמוד_האש_(סרט),עמוד האש,1959,דרמה,"[{""name"": ""לארי פריש"", ""slug"": null}]",list_table,3,אורי זוהר,אורי_זוהר
חולות_לוהטים,חולות לוהטים,1960,,"[{""name"": ""רפאל נוסבאום"", ""slug"": null}]",list_table,0,אורי זוהר,אורי_זוהר
חולות_לוהטים,חולות לוהטים,1960,,"[{""name"": ""רפאל נוסבאום"", ""slug"": null}]",list_table,1,דליה לביא,דליה_לביא
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,0,עודד תאומי,עודד_תאומי
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,1,נינט דינר,
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,2,נסים עזיקרי,נסים_עזיקרי
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,3,ליאו פילר,ליאו_פילר
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,4,משה קדם,
הם_היו_עשרה,הם היו עשרה,1960,דרמה,"[{""name"": ""ברוך דינר"", ""slug"": ""ברוך_דינר""}]",list_table,5,יוסף באשי,יוסף_באשי_(שחקן)
איי_לייק_מייק_(סרט),איי לייק מייק,1960,קומדיה,"[{""name"": ""פיטר פריי"", ""slug"": ""פיטר_פריי""}]",list_table,0,בתיה לנצט,בתיה_לנצט
איי_לייק_מייק_(סרט),איי לייק מייק,1960,קומדיה,"[{""name"": ""פיטר פריי"", ""slug"": ""פיטר_פריי""}]",list_table,1,גדעון זינגר,גדעון_זינגר
איי_לייק_מייק_(סרט),איי לייק מייק,1960,קומדיה,"[{""name"": ""פיטר פריי"", ""slug"": ""פיטר_פריי""}]",list_table,2,חיים טופול,חיים_טופול
ניני_(סרט),ניני,1962,דרמה,"[{""name"": ""שלמה סוריאנו"", ""slug"": ""שלמה_סוריאנו""}]",list_table,0,אריק איינשטיין,אריק_איינשטיין
ניני_(סרט),ניני,1962,דרמה,"[{""name"": ""שלמה סוריאנו"", ""slug"": ""שלמה_סוריאנו""}]",list_table,1,רונית כץ,
סיניה_(סרט),סיניה,1962,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""איבן לונגייל"", ""slug"": null}]",list_table,0,יפתח ספקטור,יפתח_ספקטור
סיניה_(סרט),סיניה,1962,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""איבן לונגייל"", ""slug"": null}]",list_table,1,דינה דורון,דינה_דורון
סיניה_(סרט),סיניה,1962,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""איבן לונגייל"", ""slug"": null}]",list_table,2,שייקה לוי,שייקה_לוי
סיניה_(סרט),סיניה,1962,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""איבן לונגייל"", ""slug"": null}]",list_table,3,אהוד בנאי,אהוד_בנאי
סיניה_(סרט),סיניה,1962,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}, {""name"": ""איבן לונגייל"", ""slug"": null}]",list_table,4,שמעון ישראלי,שמעון_ישראלי
עץ_או_פלסטיין,עץ או פלסטיין,1962,תיעודי,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}, {""name"": ""נתן אקסלרוד"", ""slug"": ""נתן_אקסלרוד""}, {""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]",list_table,0,חיים טופול,חיים_טופול
"אלדורדו_(סרט,_1963)",אלדורדו,1963,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,0,חיים טופול,חיים_טופול
"אלדורדו_(סרט,_1963)",אלדורדו,1963,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,1,גילה אלמגור,גילה_אלמגור
"אלדורדו_(סרט,_1963)",אלדורדו,1963,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,2,שמעון פינקל,שמעון_פינקל
"אלדורדו_(סרט,_1963)",אלדורדו,1963,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,3,יוסף ידין,יוסף_ידין
"אלדורדו_(סרט,_1963)",אלדורדו,1963,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,4,שייקה אופיר,שייקה_אופיר
אף_מילה_למורגנשטיין,אף מילה למורגנשטיין,1963,קומדיה,"[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""בנימין קורצקי"", ""slug"": null}, {""name"": ""בן אויסרמן"", ""slug"": null}]",list_table,0,גילה אלמגור,גילה_אלמגור
אף_מילה_למורגנשטיין,אף מילה למורגנשטיין,1963,קומדיה,"[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""בנימין קורצקי"", ""slug"": null}, {""name"": ""בן אויסרמן"", ""slug"": null}]",list_table,1,יוסי בנאי,יוסי_בנאי
אף_מילה_למורגנשטיין,אף מילה למורגנשטיין,1963,קומדיה,"[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""בנימין קורצקי"", ""slug"": null}, {""name"": ""בן אויסרמן"", ""slug"": null}]",list_table,2,יעקב בודו,יעקב_בודו
אף_מילה_למורגנשטיין,אף מילה למורגנשטיין,1963,קומדיה,"[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""בנימין קורצקי"", ""slug"": null}, {""name"": ""בן אויסרמן"", ""slug"": null}]",list_table,3,אילן דר,אילן_דר
אף_מילה_למורגנשטיין,אף מילה למורגנשטיין,1963,קומדיה,"[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""בנימין קורצקי"", ""slug"": null}, {""name"": ""בן אויסרמן"", ""slug"": null}]",list_table,4,אברהם בן-יוסף,אברהם_בן-יוסף
המרתף_(סרט),המרתף,1963,דרמה,"[{""name"": ""נתן גרוס"", ""slug"": ""נתן_גרוס""}]",list_table,0,שמעון ישראלי,שמעון_ישראלי
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,0,גילה אלמגור,גילה_אלמגור
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,1,יוסי בנאי,יוסי_בנאי
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,2,בומבה צור,בומבה_צור
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,3,אבנר חזקיהו,אבנר_חזקיהו
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,4,עודד תאומי,עודד_תאומי
חבורה_שכזאת,חבורה שכזאת,1963,קומדיה,"[{""name"": ""זאב חבצלת"", ""slug"": ""זאב_חבצלת""}]",list_table,5,נתן כוגן,נתן_כוגן
רק_בלירה,רק בלירה,1963,קומדיה,"[{""name"": ""יורם גרוס"", ""slug"": ""יורם_גרוס""}]",list_table,0,גדעון זינגר,גדעון_זינגר
רק_בלירה,רק בלירה,1963,קומדיה,"[{""name"": ""יורם גרוס"", ""slug"": ""יורם_גרוס""}]",list_table,1,יעקב בן-סירא,יעקב_בן-סירא
רק_בלירה,רק בלירה,1963,קומדיה,"[{""name"": ""יורם גרוס"", ""slug"": ""יורם_גרוס""}]",list_table,2,רחל אטאס,רחל_אטאס
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,0,שייקה אופיר,שייקה_אופיר
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,1,ורוניק ונדל,
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,2,אריק איינשטיין,אריק_איינשטיין
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,3,ישראל גוריון,ישראל_גוריון
