actor_id,actor_name,actor_slug,first_year,last_year,film_count
סוהיל_חדאד,סוהיל חדאד,סוהיל_חדאד,1986,1986,1
__name__:טוביה גלבר,טוביה גלבר,,1986,1986,1
טונג'ל_קורטיז,טונג'ל קורטיז,טונג'ל_קורטיז,1986,1986,1
שייקה_לוי,שייקה לוי,שייקה_לוי,1962,1986,3
אורי_כבירי,אורי כבירי,אורי_כבירי,1986,1986,1
משה_איש_כסית,משה איש כסית,משה_איש_כסית,1986,1986,1
דליק_ווליניץ,דליק ווליניץ,דליק_ווליניץ,1977,1986,5
זאב_שמשוני,זאב שמשוני,זאב_שמשוני,1984,1986,2
שמואל_עצמון,שמואל עצמון,שמואל_עצמון,1986,1986,1
רוברטו_פולק,רוברטו פולק,רוברטו_פולק,1986,1986,1
רוני_פינקוביץ',רוני פינקוביץ',רוני_פינקוביץ',1985,1986,2
__name__:יוסף שילוח,יוסף שילוח,,1986,1986,1
__name__:רווית זוהר,רווית זוהר,,1986,1986,1
שרון_הכהן,שרון הכהן,שרון_הכהן,1986,1986,1
__name__:סימון בנימיני,סימון בנימיני,,1986,1986,1
__name__:עירית זוהר,עירית זוהר,,1986,1986,1
__name__:אוסי הלל,אוסי הלל,,1986,1986,1
ברוך_ששון,ברוך ששון,ברוך_ששון,1987,1987,1
אלונה_קמחי,אלונה קמחי,אלונה_קמחי,1985,1987,3
כריסטופר_ווקן,כריסטופר ווקן,כריסטופר_ווקן,1987,1987,1
אריק_לביא,אריק לביא,אריק_לביא,1955,1987,10
נועה_גולדברג,נועה גולדברג,נועה_גולדברג,1987,1987,1
יונתן_דני,יונתן דני,יונתן_דני,1987,1987,1
__name__:חיים ג'רפי,חיים ג'רפי,,1987,1987,1
שחר_סגל_(במאי),שחר סגל,שחר_סגל_(במאי),1987,1987,1
מושון_אלבוחר,מושון אלבוחר,מושון_אלבוחר,1984,1987,2
אסי_הנגבי,אסי הנגבי,אסי_הנגבי,1983,1987,2
__name__:כריסטינה מרסיליה,כריסטינה מרסיליה,,1987,1987,1
טום_הנקס,טום הנקס,טום_הנקס,1987,1987,1
יואב_צפיר,יואב צפיר,יואב_צפיר,1987,1987,1
שושנה_שני,שושנה שני,שושנה_שני,1987,1987,1
טוביה_צפיר,טוביה צפיר,טוביה_צפיר,1974,1987,6
אבנר_חזקיהו,אבנר חזקיהו,אבנר_חזקיהו,1963,1987,12
שמעון_פינקל,שמעון פינקל,שמעון_פינקל,1933,1987,4
דפנה_ארמוני,דפנה ארמוני,דפנה_ארמוני,1987,1987,1
איקה_זוהר,איקה זוהר,איקה_זוהר,1987,1987,1
__name__:דודו טופז,דודו טופז,,1988,1988,1
יהונתן_סגל,יהונתן סגל,יהונתן_סגל,1978,1988,8
אברי_גלעד,אברי גלעד,אברי_גלעד,1988,1988,1
אבינועם_מור_חיים,אבינועם מור חיים,אבינועם_מור_חיים,1988,1988,1
אלי_יצפאן,אלי יצפאן,אלי_יצפאן,1988,1988,1
ענת_צחור,ענת צחור,ענת_צחור,1988,1988,1
עפרה_וינגרטן,עפרה וינגרטן,עפרה_וינגרטן,1982,1988,2
שלמה_תרשיש,שלמה תרשיש,שלמה_תרשיש,1988,1988,1
__name__:אריק אוחנה,אריק אוחנה,,1988,1988,1
רועי_בר-נתן,רועי בר-נתן,רועי_בר-נתן,1988,1988,1
ז'אק_כהן,ז'אק כהן,ז'אק_כהן,1976,1988,5
יפתח_קצור,יפתח קצור,יפתח_קצור,1978,1988,9
ששי_סעד,ששי סעד,ששי_סעד,1988,1988,1
אדריאן_פסדר,אדריאן פסדר,אדריאן_פסדר,1989,1989,1
__name__:נתן נתנזון,נתן נתנזון,,1989,1989,1
__name__:ססיליה פק,ססיליה פק,,1989,1989,1
ציפי_שביט,ציפי שביט,ציפי_שביט,1970,1989,3
__name__:צבי קורמן,צבי קורמן,,1989,1989,1
ספי_ריבלין,ספי ריבלין,ספי_ריבלין,1978,1989,4
תחיה_דנון,תחיה דנון,תחיה_דנון,1988,1989,2
נטע_סובול,נטע סובול,נטע_סובול,1989,1989,1
__name__:דובי גל,דובי גל,,1988,1989,2
ניר_רון,ניר רון,ניר_רון,1989,1989,1
מרים_גבריאלי,מרים גבריאלי,מרים_גבריאלי,1975,1989,2
אדיב_ג'השאן,אדיב ג'השאן,אדיב_ג'השאן,1989,1989,1
זוהר_זמיר,זוהר זמיר,זוהר_זמיר,1989,1989,1
ריטה,ריטה,ריטה,1989,1989,1
אברהם_מור,אברהם מור,אברהם_מור,1966,1990,4
__name__:טוני פק,טוני פק,,1990,1990,1
אלסנדרה_מוסוליני,אלסנדרה מוסוליני,אלסנדרה_מוסוליני,1990,1990,1
מנשה_ורשבסקי,מנשה ורשבסקי,מנשה_ורשבסקי,1974,1990,2
__name__:שולמית ארד,שולמית ארד,,1990,1990,1
נורית_גלרון,נורית גלרון,נורית_גלרון,1990,1990,1
אלי_דנקר,אלי דנקר,אלי_דנקר,1984,1990,2
גידי_גוב,גידי גוב,גידי_גוב,1977,1990,5
__name__:גיא גארנר,גיא גארנר,,1991,1991,1
ברוך_דוד,ברוך דוד,ברוך_דוד,1965,1991,2
חיים_בנאי,חיים בנאי,חיים_בנאי,1976,1991,2
__name__:בן ציון,בן ציון,,1987,1991,3
נטע_מורן,נטע מורן,נטע_מורן,1989,1991,3
זהבה_בן,זהבה בן,זהבה_בן,1992,1992,1
בסאם_זועמוט,בסאם זועמוט,בסאם_זועמוט,1992,1992,1
__name__:אריק איינשטיין,אריק איינשטיין,,1972,1992,2
__name__:צבי שיסל,צבי שיסל,,1992,1992,1
__name__:מוני מושונוב,מוני מושונוב,,1992,1992,1
__name__:רותי גולדברג,רותי גולדברג,,1992,1992,1
__name__:יהודה ברקן,יהודה ברקן,,1980,1992,8
__name__:איתן בלום,איתן בלום,,1992,1992,1
אבי_טולדנו,אבי טולדנו,אבי_טולדנו,1971,1993,2
__name__:דבורה קידר,דבורה קידר,,1977,1993,8
דנה_דבורין,דנה דבורין,דנה_דבורין,1993,1993,1
יהודה_ברקן,יהודה ברקן,יהודה_ברקן,1970,1993,16
__name__:מיכל בת-אדם,מיכל בת-אדם,,1982,1994,4
__name__:גלי בן נר,גלי בן נר,,1994,1994,1
יאיר_לפיד,יאיר לפיד,יאיר_לפיד,1994,1994,1
אתי_אנקרי,אתי אנקרי,אתי_אנקרי,1987,1994,2
__name__:מיכאל פלמן,מיכאל פלמן,,1994,1994,1
__name__:רובין רנוצ'י,רובין רנוצ'י,,1994,1994,1
__name__:חנה אזולאי-הספרי,חנה אזולאי-הספרי,,1994,1994,1
__name__:אנדריאה פראול,אנדריאה פראול,,1994,1994,1
__name__:ג'ניה צ'רניק,ג'ניה צ'רניק,,1994,1994,1
צביקה_שוורצברג,צביקה שוורצברג,צביקה_שוורצברג,1995,1995,1
קאיפו_כהן,קאיפו כהן,קאיפו_כהן,1988,1995,2
רבקה_נוימן,רבקה נוימן,רבקה_נוימן,1989,1995,3
אווה_חדד,אווה חדד,אווה_חדד,1991,1995,2
שמואל_אדלמן,שמואל אדלמן,שמואל_אדלמן,1995,1995,1
__name__:גילה אלמגור,גילה אלמגור,,1971,1995,3
__name__:אדם אבולעפיה,אדם אבולעפיה,,1995,1995,1
עמוס_שוב,עמוס שוב,עמוס_שוב,1995,1995,1
__name__:עמוס גיתאי,עמוס גיתאי,,1995,1995,1
__name__:אליה סולימאן,אליה סולימאן,,1996,1996,1
__name__:חליל אלוהב,חליל אלוהב,,1996,1996,1
__name__:שמואל פולר,שמואל פולר,,1996,1996,1
פרנקו_נרו,פרנקו נרו,פרנקו_נרו,1996,1996,1
אייל_שכטר,אייל שכטר,אייל_שכטר,1996,1996,1
מריה_אובנוב,מריה אובנוב,מריה_אובנוב,1996,1996,1
דובי_גל,דובי גל,דובי_גל,1971,1996,3
אשר_צרפתי,אשר צרפתי,אשר_צרפתי,1972,1996,5
מיכל_בת-אדם,מיכל בת-אדם,מיכל_בת-אדם,1972,1996,7
אריאל_זילבר,אריאל זילבר,אריאל_זילבר,1996,1996,1
ארנון_צדוק,ארנון צדוק,ארנון_צדוק,1982,1996,6
ניצה_שאול,ניצה שאול,ניצה_שאול,1970,1996,10
אורי_בנאי,אורי בנאי,אורי_בנאי,1992,1996,2
__name__:מנשה נוי,מנשה נוי,,1997,1997,1
__name__:ענבר סוירפמן,ענבר סוירפמן,,1997,1997,1
יובל_זמיר,יובל זמיר,יובל_זמיר,1997,1997,1
דפנה_דקל,דפנה דקל,דפנה_דקל,1993,1997,2
גילי_שושן,גילי שושן,גילי_שושן,1997,1997,1
אריה_מוסקונה,אריה מוסקונה,אריה_מוסקונה,1987,1997,5
שבתאי_קונורטי,שבתאי קונורטי,שבתאי_קונורטי,1997,1997,1
חוה_אלברשטיין,חוה אלברשטיין,חוה_אלברשטיין,1981,1997,2
שירה_גפן,שירה גפן,שירה_גפן,1997,1997,1
אבי_פניני,אבי פניני,אבי_פניני,1997,1997,1
ישראל_פוליאקוב,ישראל פוליאקוב,ישראל_פוליאקוב,1969,1997,3
יונה_עטרי,יונה עטרי,יונה_עטרי,1998,1998,1
דורין_כספי,דורין כספי,דורין_כספי,1998,1998,1
חנה_מרון,חנה מרון,חנה_מרון,1955,1998,4
יובל_סגל_(1980),יובל סגל,יובל_סגל_(1980),1998,1998,1
גאולה_נוני,גאולה נוני,גאולה_נוני,1964,1998,6
__name__:זאב רווח,זאב רווח,,1976,1998,10
אהובה_קרן,אהובה קרן,אהובה_קרן,1998,1998,1
שרון_צור,שרון צור,שרון_צור,1998,1998,1
סער_בדישי,סער בדישי,סער_בדישי,1996,1998,2
__name__:איציק עצמון,איציק עצמון,,1998,1998,1
__name__:תכלת סמל,תכלת סמל,,1998,1998,1
מיכאל_הנגבי,מיכאל הנגבי,מיכאל_הנגבי,1998,1998,1
יוסוף_אבו_ורדה,יוסוף אבו ורדה,יוסוף_אבו_ורדה,1999,1999,1
מיכל_זוארץ,מיכל זוארץ,מיכל_זוארץ,1994,1999,3
סמי_הורי,סמי הורי,סמי_הורי,1999,1999,1
אורי_אברהמי,אורי אברהמי,אורי_אברהמי,1999,1999,1
אורלי_בן-גרטי,אורלי בן-גרטי,אורלי_בן-גרטי,1999,1999,1
אורן_שבו,אורן שבו,אורן_שבו,1999,1999,1
צח_שפיצן,צח שפיצן,צח_שפיצן,1999,1999,1
