Threshold,Features,AUC,Change
0.001,30,0.7868232650939759,-0.20007673490602407
0.005,27,0.7848029106517111,-0.20209708934828885
0.01,26,0.788608889559546,-0.198291110440454
0.02,22,0.7848783595727915,-0.2020216404272085
