u,v,years_ahead,probability,v_career_length,director_overlap
מוריס_כהן_(שחקן),רותם_זיסמן-כהן,1,0.6553712903425499,4,1
אושרי_כהן,שלומי_קוריאט,1,0.9347821377419889,5,1
אוולין_הגואל,חיים_זנאתי,1,0.8372185623888652,3,1
אנה_דוברוביצקי,לירון_בן-שלוש,1,0.656406185677378,6,1
ישי_גולן,מיכאל_אלוני,1,0.6780743997893294,5,1
אורי_גבריאל,שי_אביבי,2,0.9966666666666667,22,1
מיכאל_אלוני,מיקי_לאון,2,0.8237106633303267,5,2
אנה_דוברוביצקי,יורם_חטב,2,0.9080855173058916,6,1
יפתח_קליין,ליא_קניג,2,0.6185718130273181,45,1
דניאל_מורשת,עפר_שכטר,2,0.821613558112849,4,0
יחזקאל_לזרוב,יעל_אבקסיס,2,1.0,23,1
אריה_צ'רנר,יובל_סגל_(1971),2,0.9244559460506517,12,0
דב_נבון,יעל_אבקסיס,2,1.0,23,1
עוז_זהבי,עירית_שלג,2,0.8095425823688412,32,1
אלון_אבוטבול,עלי_סלימאן,2,0.9734224622061469,1,1
יגאל_נאור,עדנה_בליליוס,2,0.8775325245326823,1,1
אודי_פרסי,שמיל_בן_ארי,2,0.7468959827672923,19,0
יפתח_קליין,קרן_מור,2,0.9966666666666667,25,1
אושרי_כהן,אליאנה_תדהר,2,0.5531716600078282,1,0
מיה_דגן,נתן_רביץ,2,0.8985786800279058,1,1
אלון_אבוטבול,יאנה_יוסף,2,0.8158059374636397,1,0
אודי_פרסי,לירון_בן-שלוש,2,0.5460248066002102,6,0
חיים_זנאתי,יגאל_נאור,2,0.5209225746874516,18,1
יובל_שרף,יערה_פלציג,2,0.8190067886210487,1,1
אודי_פרסי,יורם_חטב,2,0.6627737000543182,6,0
דניאל_גד,עפר_שכטר,2,0.7902087600427384,4,0
אורי_הוכמן,צחי_גראד,2,0.7800727500386327,10,0
אוולין_הגואל,יגאל_נאור,2,0.9680445003966687,18,1
אברהם_סלקטר,יגאל_נאור,2,0.5077746980398682,18,1
אריה_צ'רנר,גל_זייד,2,0.7578278625070822,6,0
גילת_אנקורי,דביר_בנדק,2,0.5378222536032405,15,1
טלי_שרון,יאנה_יוסף,2,0.5621123233026961,1,0
ישי_גולן,מיקי_לאון,2,0.541583733882721,5,1
עפר_שכטר,תובל_שפיר,2,0.5236532317152846,1,0
עוז_זהבי,שלומי_קוריאט,2,0.7776941140781855,5,1
דניאל_גד,תובל_שפיר,2,0.6995196515194575,1,0
לירון_בן-שלוש,שמיל_בן_ארי,2,0.9138679955215389,19,1
גיל_פרנק,מיה_דגן,2,0.8806342223183905,5,1
דביר_בנדק,רועי_אסף,2,0.9558300481822164,7,1
דאנה_איבגי,נטלי_עטיה,2,0.7399413899652661,18,1
חיים_אוסדון,שלומי_קוריאט,2,0.7924336668508483,5,0
אנה_דוברוביצקי,שרון_אלכסנדר,2,0.8347998039173445,32,1
חיים_אוסדון,תומר_שרון,2,0.5957029576870141,1,0
אוולין_הגואל,מיטל_גל_סויסה,2,0.9246330589585641,2,1
אוולין_הגואל,אורנה_בנאי,2,0.796627321419641,9,1
יורם_חטב,שמיל_בן_ארי,2,0.8442632881383589,19,1
דב_נבון,יחזקאל_לזרוב,2,1.0,19,1
עופר_חיון,צחי_גראד,2,0.8979837240399722,10,1
גילה_אלמגור,מרים_זוהר,2,0.8388825101071947,1,2
דנה_פרידר,עופר_חיון,2,0.592189666844733,7,1
יורם_חטב,לירון_בן-שלוש,2,0.7653536551850042,6,1
יבגניה_דודינה,שי_אביבי,2,0.9966666666666667,22,1
ליאור_אשכנזי,שירה_האס,2,0.8097891878638208,1,1
חנן_סביון,יגאל_נאור,2,0.6363845110292676,18,0
דביר_בנדק,קרן_ברגר,2,0.9270145088988406,2,1
גילה_אלמגור,עודד_תאומי,2,0.7924707229196749,51,6
__name__:יבגני אורלוב,משה_אשכנזי_(שחקן),2,0.6047612639013857,1,0
אוולין_הגואל,מלי_לוי,2,0.9295574122612429,10,1
טלי_שרון,עלי_סלימאן,2,0.8535864482283921,1,1
אוולין_הגואל,איציק_כהן_(שחקן),2,0.8629162228586347,1,1
יעל_אבקסיס,שרון_אלכסנדר,2,0.9966666666666667,32,3
אודי_פרסי,שרון_אלכסנדר,2,0.875265604011026,32,0
אניה_בוקשטיין,יפתח_קליין,2,0.9640972611578762,6,1
משה_איבגי,שרון_אלכסנדר,2,0.9933333333333333,32,6
גיל_פרנק,דרור_קרן,2,0.8966538025760413,18,1
אליאנה_תדהר,עוז_זהבי,2,0.8556063155884258,6,0
דניאל_גד,דניאל_מורשת,2,0.6984046486006018,1,0
גילה_אלמגור,מיכאל_אלוני,2,1.0,5,1
מוחמד_בכרי,פלורנס_בלוך,2,0.9243658657107687,9,1
נטלי_עטיה,שרון_אלכסנדר,2,0.6391281055213734,32,2
אושרי_כהן,עוז_זהבי,2,0.8099277576000181,6,1
אושרי_כהן,לנה_אטינגר,2,0.737549374127485,1,1
אושרי_כהן,רותם_זיסמן-כהן,2,0.9952338084521131,4,2
לירון_לבו,משה_איבגי,2,0.9833333333333333,32,2
אלון_דהן_(שחקן),מוריס_כהן_(שחקן),2,0.5034487109572539,1,1
ליא_קניג,קרן_מור,2,0.7449192873624079,25,1
