Model,AUC,Precision,Recall,F1,Avg_Precision
All Features (42),0.7157214513235455,0.5945945945945946,0.5759162303664922,0.5851063829787234,0.6252843128623892
Selected Features (24),0.7372313550324022,0.5806451612903226,0.6596858638743456,0.6176470588235294,0.6775715136556666
