actor_id,actor_name,actor_slug
הדר_לוי,הדר לוי,הדר_לוי
__name__:היאלי יוסף זאדה,היאלי יוסף זאדה,
היאם_עבאס,היאם עבאס,היאם_עבאס
__name__:הייתאם עומארי,הייתאם עומארי,
הילה_וידור,הילה וידור,הילה_וידור
הילה_מצקר-הלוי,הילה מצקר-הלוי,הילה_מצקר-הלוי
הילה_סורג'ון_פישר,הילה סורג'ון פישר,הילה_סורג'ון_פישר
הילה_סעדה,הילה סעדה,הילה_סעדה
הילה_ערן,הילה ערן,הילה_ערן
הילה_פלדמן,הילה פלדמן,הילה_פלדמן
__name__:הילה קפלן,הילה קפלן,
הילה_רוח,הילה רוח,הילה_רוח
הילי_ילון,הילי ילון,הילי_ילון
__name__:הילי ישראל,הילי ישראל,
הילית_ישורון,הילית ישורון,הילית_ישורון
__name__:הלל ינאי שני,הלל ינאי שני,
__name__:הלל שמעון,הלל שמעון,
הלנה_ירלובה,הלנה ירלובה,הלנה_ירלובה
הנרי_דוד,הנרי דוד,הנרי_דוד
הרצל_טובי,הרצל טובי,הרצל_טובי
וילם_דפו,וילם דפו,וילם_דפו
ולדימיר_פרידמן,ולדימיר פרידמן,ולדימיר_פרידמן
