feature,importance
u_genre_diversity,0.0733337354813562
u_career_length,0.06576911154005313
u_director_count,0.05704151490843124
u_film_count,0.057017983132937114
prod_closeness,0.05670035629037734
diff_eigenvector,0.04522022380932214
v_eigenvector,0.04347788909280013
v_closeness,0.043264179843177396
prod_degree,0.04323806676416367
pref_attachment,0.041969299200868226
v_degree,0.03981570124775195
u_closeness,0.03977597737145036
prod_eigenvector,0.038468471279329806
u_eigenvector,0.03758226277201445
diff_betweenness,0.03393354017610192
diff_closeness,0.030058617320672328
u_degree,0.02420749241832018
v_betweenness,0.02397691378499339
v_career_length,0.02256002658661182
diff_degree,0.02119598066417437
v_recent,0.019821390240407334
u_recent,0.019256363022992204
v_director_count,0.016106110728714294
u_betweenness,0.013659877679579307
shortest_path,0.011680670651685094
director_overlap,0.011502296600897707
v_film_count,0.011219749285725613
career_overlap,0.01077075940076366
prod_betweenness,0.010491034938083286
genre_overlap,0.009029906127374893
same_main_genre,0.008542533490339383
v_genre_diversity,0.006522605075618191
adamic_adar,0.004973756024460502
jaccard,0.004014043958578851
common_neighbors,0.002528987523946436
v_alive,0.0012725715659259315
u_alive,0.0
collaboration_count,0.0
