feature,importance
u_closeness,0.06988170630464624
diff_betweenness,0.06465948048001902
svd_cosine_sim,0.0512742841881461
prod_closeness,0.05059317637064539
svd_dot_product,0.04739847219123481
pref_attachment,0.04400397833451195
u_eigenvector,0.043941860408699754
walk_dot_product,0.04355563635537128
prod_degree,0.04246205676846565
u_betweenness,0.04151258536343112
u_recent,0.03774599443796322
diff_closeness,0.03414959350804739
v_betweenness,0.03295402331010415
prod_eigenvector,0.03243327794880598
v_closeness,0.031802772712676654
diff_eigenvector,0.031775216537066706
v_director_count,0.0314139715261178
walk_cosine_sim,0.030969621711316453
u_degree,0.029052578004680966
v_eigenvector,0.026687001808966652
v_degree,0.022925266683626443
diff_degree,0.022915260507121293
v_career_length,0.01831302918979623
u_film_count,0.01618949273939616
v_film_count,0.014414939721141355
prod_betweenness,0.014319721088616939
u_director_count,0.013486944069392217
u_career_length,0.013016083945430607
shortest_path,0.00862389891768116
director_overlap,0.006439435167771931
same_main_genre,0.005753093169866191
career_overlap,0.005630151944917596
v_recent,0.005468387559162681
genre_overlap,0.005240504517030008
u_genre_diversity,0.0031088925561492285
v_genre_diversity,0.002349006553335678
jaccard,0.0017383673434987605
common_neighbors,0.0007921629357063292
adamic_adar,0.0006912617464856319
u_alive,0.0002694719226190785
v_alive,4.733945033716613e-05
collaboration_count,0.0
