Configuration,Features,Deceased_Actors,Precision,Recall,F1,AUC,AP
WITHOUT is_alive,32,0,0.6837606837606838,0.5673758865248227,0.6201550387596899,0.8052328018376005,0.7298402680747852
WITH is_alive,34,21,0.6595744680851063,0.549645390070922,0.5996131528046421,0.8044447797729827,0.7297710714632757
