years_ahead,target_year,n_examples,n_positive,AUC,Precision,Recall,F1
1,2016,273,116,0.7099439929716671,0.5629139072847682,0.7327586206896551,0.6367041198501873
2,2017,311,154,0.728885763917611,0.6408839779005525,0.7532467532467533,0.6925373134328359
3,2018,315,158,0.7302870273320972,0.6349206349206349,0.759493670886076,0.69164265129683
4,2019,327,170,0.7115586361933308,0.6443298969072165,0.7352941176470589,0.6868131868131868
5,2020,348,191,0.7119751892486745,0.6561085972850679,0.7591623036649214,0.7038834951456311
