Experiment,Features,LR,RF,Best,Δ_Baseline
1. Baseline,24,0.7404431366631457,0.72004677833107,0.7404431366631457,0.0
2. +Resource Allocation,25,0.7400281675972034,0.7237186258236508,0.7400281675972034,-0.00041496906594229443
3. +Node Features,33,0.7386197877370353,0.71126955384538,0.7386197877370353,-0.0018233489261103575
4. +Temporal Features,32,0.9923670841506966,0.9880036215482119,0.9923670841506966,0.251923947487551
5. ALL Combined,42,0.9929203762386198,0.9861299733413812,0.9929203762386198,0.2524772395754742
