feature,importance
u_recent,0.08420128941057863
prod_closeness,0.07530834590089128
u_closeness,0.06852826509318992
walk_dot_product,0.047730087965540985
prod_eigenvector,0.045556275560555
svd_dot_product,0.045107189757816274
svd_cosine_sim,0.04407295392335015
prod_degree,0.042155684253993235
diff_betweenness,0.04136546525638102
pref_attachment,0.0411286047389456
u_eigenvector,0.038987851814555156
v_closeness,0.03566836390664061
v_director_count,0.03524986210719749
diff_closeness,0.03185665483210824
diff_eigenvector,0.026524545600572526
u_degree,0.026288925253833036
prod_betweenness,0.0262314075603189
walk_cosine_sim,0.023758958820428458
v_betweenness,0.022855059590759882
v_degree,0.022296406635934754
v_eigenvector,0.022248953394960847
u_betweenness,0.019755838583105523
diff_degree,0.018385985658234977
v_film_count,0.013673641068305292
v_career_length,0.013607554477293974
years_ahead,0.012947522896930477
u_director_count,0.012162155539628345
director_overlap,0.010660502566224854
shortest_path,0.010014222955296807
u_film_count,0.009836540638159448
u_career_length,0.00706153386136398
v_recent,0.003921435531504459
u_genre_diversity,0.003753151975825435
same_main_genre,0.003554574476967474
genre_overlap,0.003465666791872239
v_genre_diversity,0.002833161119981857
jaccard,0.002613377070848504
career_overlap,0.002345678530191654
v_alive,0.0007694258935308037
common_neighbors,0.0005502603504118961
adamic_adar,0.0005000481480510726
u_alive,0.00046657048771898263
collaboration_count,0.0
