,n_actors,n_collaborations,density,avg_clustering,avg_degree,max_degree,n_components,largest_component_size,largest_component_frac,radius,diameter
A,132.0,472.0,0.05459171871385612,0.7415247278806142,7.151515151515151,34.0,3.0,128.0,0.9696969696969697,4.0,6.0
B,335.0,930.0,0.016623469478952543,0.6593840061932806,5.552238805970149,48.0,24.0,289.0,0.8626865671641791,3.0,6.0
C,1106.0,4731.0,0.007742220549368725,0.7506816752527216,8.55515370705244,62.0,49.0,989.0,0.8942133815551537,5.0,9.0
