u,v,years_ahead,probability,v_career_length,director_overlap
אודי_פרסי,אנה_דוברוביצקי,3,0.2703322762481596,1,0
איציק_כהן_(שחקן),חיים_זנאתי,3,0.3006938725684184,3,1
בני_אבני,עירית_קפלן,3,0.43379983477156797,1,1
אליאנה_תדהר,דניאל_גד,3,0.2102021349939677,1,0
בני_אבני,רותם_אבוהב,3,0.4257160586827986,1,1
יואב_דונט,תמר_אלקן,3,0.44193515008480083,1,1
אברהם_סלקטר,אוולין_הגואל,3,0.4477108014225473,4,1
אורלי_פרל,שני_קליין,3,0.08241728785444416,1,0
נטע_שפיגלמן,עלי_סלימאן,3,0.42651788830720183,1,1
אורנה_בנאי,יגאל_נאור,3,0.48780332839582835,18,1
אברהם_סלקטר,איציק_כהן_(שחקן),3,0.19754878482033245,1,1
איציק_כהן_(שחקן),יגאל_נאור,3,0.482676984389075,18,1
הילה_פלדמן,ישי_גולן,3,0.30849974488701987,1,1
גלעד_כהנא,תמר_אלקן,3,0.31825149399807184,1,0
אולג_לוין,משה_אשכנזי_(שחקן),3,0.3383081466787812,1,0
אלון_דהן_(שחקן),חיים_זנאתי,3,0.4580778069705203,3,1
לנה_אטינגר,רותם_זיסמן-כהן,3,0.4566832827920798,4,1
נטע_שפיגלמן,עודד_לאופולד,3,0.16421912547709788,1,0
חנן_סביון,עדנה_בליליוס,3,0.4099902435989431,1,0
חיים_זנאתי,מוריס_כהן_(שחקן),3,0.2876302632564571,1,1
גלעד_כהנא,יואב_דונט,3,0.3693892208980827,1,0
מאור_שוויצר,משה_פולקנפליק,3,0.455873098242695,1,0
עירית_קפלן,רותם_אבוהב,3,0.3583153977665214,1,1
אורי_הוכמן,עופר_חיון,3,0.4108448711892508,7,0
יאנה_יוסף,עלי_סלימאן,3,0.3949671850989229,1,0
אורנה_בנאי,איציק_כהן_(שחקן),3,0.3674492870380106,1,1
אורנה_בנאי,חיים_זנאתי,3,0.3575121677774222,3,1
אורי_הוכמן,נטלי_עטיה,3,0.2618116414176569,18,0
אברהם_סלקטר,חיים_זנאתי,3,0.2519600249270358,3,1
עודד_לאופולד,עלי_סלימאן,4,0.40177056561320984,1,0
אברהם_סלקטר,אורנה_בנאי,4,0.270557314636178,9,1
אורי_פפר,זהר_ליבה,4,0.43847525394795506,1,1
גילת_אנקורי,קובי_פרג',4,0.41170241846121225,2,1
גילת_אנקורי,דודו_טסה,4,0.09980267614952619,1,1
הילה_פלדמן,מיקי_לאון,4,0.4380401264205428,5,1
מרים_זוהר,עודד_תאומי,4,0.32129965494377016,51,0
מאור_שוויצר,רועי_ניק,4,0.4813702485322101,1,0
אליאנה_תדהר,נעמי_לבוב,4,0.30981811714696494,1,0
אורי_הוכמן,דאנה_איבגי,4,0.43848177371271996,12,0
אודי_פרסי,אנה_דוברוביצקי,4,0.3018720927724376,1,0
איציק_כהן_(שחקן),חיים_זנאתי,4,0.3070755931095888,3,1
בני_אבני,עירית_קפלן,4,0.45934274961299215,1,1
זהר_ליבה,תובל_שפיר,4,0.22171087797212058,1,0
אליאנה_תדהר,דניאל_גד,4,0.23064792905894635,1,0
בני_אבני,רותם_אבוהב,4,0.45160631016333846,1,1
