Experiment,Model,Precision,Recall,F1,AUC-ROC,Avg Precision
Baseline (24),LR,0.5085158150851582,0.7411347517730497,0.6031746031746031,0.7215264155055916,0.6738013702229373
Baseline (24),RF,0.5846153846153846,0.5390070921985816,0.5608856088560885,0.7198916888821822,0.6692574410924529
+Temporal (32),LR,0.7090909090909091,0.5531914893617021,0.6215139442231076,0.7868232650939759,0.7168047390146838
+Temporal (32),RF,0.6708333333333333,0.5709219858156028,0.6168582375478927,0.8011334104588971,0.722215913281569
