Model,AUC,Precision,Recall,F1,Avg_Precision
All Features (43),0.7154860219741186,0.6288441145281018,0.7515842839036755,0.684757505773672,0.7123790132301995
Selected Features (27),0.7201981061248213,0.6314102564102564,0.7490494296577946,0.6852173913043478,0.7184522741266535
