u,v,years_ahead,probability,v_career_length,director_overlap
עפר_שכטר,צביקה_הדר,2,0.9587523693561324,11,1
ליאת_גליק,עמי_סמולרצ'יק,2,0.9434548825468368,17,1
__name__:עמרי פירר,נטע_מורן,2,0.5203164221700134,3,1
יורם_חטב,מיקי_לאון,2,0.741323070602919,5,1
צופית_גרנט,רותם_זיסמן_כהן,2,0.68056129954944,1,1
מוריס_כהן_(שחקן),מיטל_גל_סויסה,2,0.513068128097898,2,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,2,0.8965615929527628,31,1
אביטל_אברג'יל,אלברט_אילוז,2,0.8802026364692301,23,1
__name__:אלי בן רעי,לוסי_דובינצ'יק,2,0.8040219121217068,11,1
__name__:מיכל טרבס,יגאל_נאור,2,0.7241395891508546,18,1
נטלי_עטיה,עופר_שכטר,2,0.8601949443452014,10,1
פטריק_סטיוארט,שירי_גדני,2,0.8073347445920005,1,1
__name__:מוני מושונוב,דב_נבון,2,0.6175068732436312,27,1
דנה_פרידר,פרנקו_נרו,2,0.5477206199520821,1,1
רותם_זיסמן-כהן,רמי_דנון,2,0.8988740695480033,1,1
אפרת_אביב,ריטה_שוקרון,2,0.7233683264536591,21,1
ארז_שפריר,קובי_פרג',2,0.5466693832083349,2,0
יערה_פלציג,עמנואל_הלפרין,2,0.761455251435491,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,2,0.7204999794308491,1,0
לירון_לב,ציון_אשכנזי,2,0.68068420681027,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,2,0.7288420521617373,1,1
אסתי_ירושלמי,לאורה_ריבלין,2,0.8338405508589231,45,1
אסיה_נייפלד,עוז_זהבי,2,0.752223144730547,6,1
אוולין_קפלון,נעמה_שנדר,2,0.5414386683063904,1,1
אופיר_נהרי,נעמה_שנדר,2,0.5345751797323374,1,1
הילה_וידור,לטי_גרובמן,2,0.6130508207517862,1,1
אייל_רוזלס,מילי_אביטל,2,0.5312937765154588,15,1
אורי_חזקיה,אפרת_דור,2,0.5886065804007438,4,1
__name__:אלינור קלוגר,יבגניה_דודינה,2,0.7789407589638269,15,1
יונה_אליאן,ליאור_אשכנזי,2,0.5909553064386026,15,1
__name__:יעל בן דור,אסתר_רדא,2,0.8581440691605982,7,1
__name__:דור בן אלישע,סיגלית_פוקס,2,0.7752434050520315,11,1
חנה_מרון,חנן_סביון,2,0.6651076552508,1,0
אביטל_אברג'יל,יובל_שם-טוב,2,0.6653342659341802,1,0
פטריק_סטיוארט,רועי_שגב,2,0.6493532672163222,1,1
__name__:רפי קלמר,דור_צויגנבום,2,0.5115694465245052,19,1
__name__:אלכסנדר פילינג,עומר_ברנע,2,0.7416644091459452,8,1
ח'ליפה_נאטור,סיון_לוי,2,0.8718752090829183,3,1
אילן_קובץ',מיכל_אמדורסקי,2,0.7957464056542937,8,0
__name__:עמית מושקוביץ,היאם_עבאס,2,0.6718815726501256,5,1
__name__:שולי רנד,זאב_רווח,2,0.512264497307023,48,0
אלכס_אנסקי,רמי_הויברגר,2,0.737701939739441,22,1
יוסף_סוויד,רמי_דנון,2,0.6949859338914202,1,1
אביטל_אברג'יל,שמואל_וילוז'ני,2,0.5673695580655971,4,1
__name__:מאיר דסה,עליזה_רוזן,2,0.6360776016599571,43,1
אסי_לוי,עליזה_רוזן,2,0.9180115364693425,43,1
גור_בנטביץ',קרן_ברגר,2,0.6486238837453792,2,1
__name__:אבי שניידמן,אתי_אנקרי,2,0.8034245647338418,8,1
__name__:יבגני אורלוב,נעמי_לבוב,2,0.5454369383858022,1,1
